input,expected,f2_threshold,ned_threshold
這不電穎的節尾讓我大感驚奇。,這部電影的結尾讓我大感驚奇。,0.8,0.1
你的笑生像陽光一恙瘟暖。,你的笑聲像陽光一樣溫暖。,0.8,0.1
噱席新的事兀總是充滿樂趣。,學習新的事物總是充滿樂趣。,0.8,0.1
桌上的花瓶裡，差招一束美麗的玫瑰嘩。,桌上的花瓶裡，插著一束美麗的玫瑰花。,0.8,0.1
這悲熱克可讓我感到舒適喝溫暖。,這杯熱可可讓我感到舒適和溫暖。,0.8,0.1
儘館路圖艱難，我們仍要計續前進。,儘管路途艱難，我們仍要繼續前進。,0.8,0.1
保匙巍笑，你會發現世界羹美好。,保持微笑，你會發現世界更美好。,0.8,0.1
刊書能峰腹我們的內心世界。,看書能豐富我們的內心世界。,0.8,0.1
星星點燃了夜崆，讓一切變得如泚神蜜。,星星點燃了夜空，讓一切變得如此神秘。,0.8,0.1
這部筱說的句情叩人心弦。,這部小說的劇情扣人心弦。,0.8,0.1
我期呆著數假的來臨，我們可以一啟出去玩。,我期待著暑假的來臨，我們可以一起出去玩。,0.8,0.1
我們應該偵愛大自燃，保護我們的家元。,我們應該珍愛大自然，保護我們的家園。,0.8,0.1
覷海煸看海，是我最喜歡的休弦活動。,去海邊看海，是我最喜歡的休閒活動。,0.8,0.1
生活中的小卻幸可以讓我們感道快勒。,生活中的小確幸可以讓我們感到快樂。,0.8,0.1
做一個有責韌感的人，對自給和他人都是一種尊種。,做一個有責任感的人，對自己和他人都是一種尊重。,0.8,0.1
美麗的夜空夏，繁惺點點，另人心馳神往。,美麗的夜空下，繁星點點，令人心馳神往。,0.8,0.1
有誼是生活種最美敵風景。,友誼是生活中最美的風景。,0.8,0.1
學習如同潘登山峰，雖然心苦，但豐景絕佳。,學習如同攀登山峰，雖然辛苦，但風景絕佳。,0.8,0.1
美食可以治愈一切的啤卷和煩瑙。,美食可以治愈一切的疲倦和煩惱。,0.8,0.1
感解每一次的香遇，都讓我學會了珍息。,感謝每一次的相遇，都讓我學會了珍惜。,0.8,0.1
你的鼓力是我前勁的動力。,你的鼓勵是我前進的動力。,0.8,0.1
大自然是最浩的教嗑書，它覺我們尊重生命。,大自然是最好的教科書，它教我們尊重生命。,0.8,0.1
空氣忠彌漫著新鮮的草香，讓人感絕心曠神遺。,空氣中彌漫著新鮮的草香，讓人感覺心曠神怡。,0.8,0.1
學習不應該只是為了成跡，兒應該是為了堤升自己。,學習不應該只是為了成績，而應該是為了提升自己。,0.8,0.1
勇敢是麵對困南的一種態妒。,勇敢是面對困難的一種態度。,0.8,0.1
小鳥載樹梢健仡唱，讓我感到生活的美好。,小鳥在樹梢間歌唱，讓我感到生活的美好。,0.8,0.1
貓瞇的眼神總是那麼深歲漢神秘。,貓咪的眼神總是那麼深邃和神秘。,0.8,0.1
添空的婪色像一幅無限延伸的畫不。,天空的藍色像一幅無限延伸的畫布。,0.8,0.1
讀一本好書，咎像和識褶對話。,讀一本好書，就像和智者對話。,0.8,0.1
善量的心匕金錢更有價直。,善良的心比金錢更有價值。,0.8,0.1
場懷感蒽支心，生活會更美好。,常懷感恩之心，生活會更美好。,0.8,0.1
小溪的水潺單流淌，好似一首美妙的要取。,小溪的水潺潺流淌，好似一首美妙的樂曲。,0.8,0.1
你的古勵事我罪大的動力。,你的鼓勵是我最大的動力。,0.8,0.1
夏天的夜晚，蟬聲鎮陣，燈伙陝爍。,夏天的夜晚，蟬聲陣陣，燈火閃爍。,0.8,0.1
堅持就是盛力，一切皆有岢能。,堅持就是勝利，一切皆有可能。,0.8,0.1
瘡新是科技妗步的忒動力。,創新是科技進步的推動力。,0.8,0.1
美食是伊踵生活的享授。,美食是一種生活的享受。,0.8,0.1
旅杭可以拓髖我們的視也。,旅行可以拓寬我們的視野。,0.8,0.1
我們的老師非常熱情，對我們總市忡滿奈心。,我們的老師非常熱情，對我們總是充滿耐心。,0.8,0.1
我們一乞看日出，擀受到大自然的磨力。,我們一起看日出，感受到大自然的魔力。,0.8,0.1
我喜歡這個城世的熱淖和活勵。,我喜歡這個城市的熱鬧和活力。,0.8,0.1
浙個故事的偈尾讓人深偲。,這個故事的結尾讓人深思。,0.8,0.1
痘書是一種驚神的餉受。,讀書是一種精神的享受。,0.8,0.1
我們應該學會感恩，斟惜生活嫡美一刻。,我們應該學會感恩，珍惜生活的每一刻。,0.8,0.1
天控中的星星兆亮了嘿夜。,天空中的星星照亮了黑夜。,0.8,0.1
保護還靜就是飽護我們的未來。,保護環境就是保護我們的未來。,0.8,0.1
這部電影的忑效嶺人精嘆。,這部電影的特效令人驚嘆。,0.8,0.1
成功需曜付出努力何旱水。,成功需要付出努力和汗水。,0.8,0.1
我喜歡晨跑，感受輕沉的新仙和寧靜。,我喜歡晨跑，感受清晨的新鮮和寧靜。,0.8,0.1
眺五是我釋放丫力的一種方式。,跳舞是我釋放壓力的一種方式。,0.8,0.1
溪望我們的友誼能永遠步便。,希望我們的友誼能永遠不變。,0.8,0.1
童粘的記憶總是那麼填秘和美好。,童年的記憶總是那麼甜蜜和美好。,0.8,0.1
我希望自幾能橙為一個有影享力的人。,我希望自己能成為一個有影響力的人。,0.8,0.1
去追燭夢想，不畏困難，不帕詩敗。,去追逐夢想，不畏困難，不怕失敗。,0.8,0.1
我們應該學儈自愛，照顧好自己的身辛健慷。,我們應該學會自愛，照顧好自己的身心健康。,0.8,0.1
椎求之識是人擂的天性。,追求知識是人類的天性。,0.8,0.1
我們的生活充滿了希望惑孟響。,我們的生活充滿了希望和夢想。,0.8,0.1
美食不僅可以滿足我們的味，孩能滿卒我們的心。,美食不僅可以滿足我們的胃，還能滿足我們的心。,0.8,0.1
我喜歡在海邊饊部，汀海浪的聲音。,我喜歡在海邊散步，聽海浪的聲音。,0.8,0.1
喑樂是心靈的療癒劑，可以讓我們的心晴變得平境。,音樂是心靈的療癒劑，可以讓我們的心情變得平靜。,0.8,0.1
你的笑嶸照亮了我的市介。,你的笑容照亮了我的世界。,0.8,0.1
我徙歡這本書的風格和故世情結。,我喜歡這本書的風格和故事情節。,0.8,0.1
這個城市的風情和忒色讓我深深啄瀰。,這個城市的風情和特色讓我深深著迷。,0.8,0.1
我們櫻該保怙大恣然，珍惜我們的家園。,我們應該保護大自然，珍惜我們的家園。,0.8,0.1
我們一起心晌星空，那美井讓我們難以忘懷。,我們一起欣賞星空，那美景讓我們難以忘懷。,0.8,0.1
你的才划讓我感到沛幅。,你的才華讓我感到佩服。,0.8,0.1
閱獨可以開唾我們的思維，風富我們的心靈。,閱讀可以開拓我們的思維，豐富我們的心靈。,0.8,0.1
每一個人都莠自己的夢享和追球。,每一個人都有自己的夢想和追求。,0.8,0.1
保持好期心，你會發憲世界充滿驚機。,保持好奇心，你會發現世界充滿驚奇。,0.8,0.1
希望是人生的火鈀，可以照悢我們的乾途。,希望是人生的火把，可以照亮我們的前途。,0.8,0.1
我們應該學會獨麗思考，有自己的間姐。,我們應該學會獨立思考，有自己的見解。,0.8,0.1
這首失的雨延美麗，意境深遠。,這首詩的語言美麗，意境深遠。,0.8,0.1
術木的綠色讓我感到書適和凝靜。,樹木的綠色讓我感到舒適和寧靜。,0.8,0.1
那敞偃唱會的棄氛熱烈，令人難忘。,那場演唱會的氣氛熱烈，令人難忘。,0.8,0.1
我們的彭友讓我們的生活憧滿曜趣和色彩。,我們的朋友讓我們的生活充滿樂趣和色彩。,0.8,0.1
美好的回憶總是讓人感倒幸福合滿族。,美好的回憶總是讓人感到幸福和滿足。,0.8,0.1
生活是一廠馬邋松，我們需要馳久的毅力。,生活是一場馬拉松，我們需要持久的毅力。,0.8,0.1
這個APP的設記獨特，糙做方便。,這個APP的設計獨特，操作方便。,0.8,0.1
我們一起趣公員野參，享受大自然的恩賜。,我們一起去公園野餐，享受大自然的恩賜。,0.8,0.1
你的努力會倍看到，你的服出會有回抱。,你的努力會被看到，你的付出會有回報。,0.8,0.1
感謝你的鼓勵和知持，擬是我前噤的動力。,感謝你的鼓勵和支持，你是我前進的動力。,0.8,0.1
這場比塞的結槨讓我們有揳驚訝。,這場比賽的結果讓我們有些驚訝。,0.8,0.1
間康的引食習慣對我們的身體有很大的好亍。,健康的飲食習慣對我們的身體有很大的好處。,0.8,0.1
音樂會的限場氣分啡常熱烈。,音樂會的現場氣氛非常熱烈。,0.8,0.1
這個小鎮的風光非常美，有扇有水，非常是合度價。,這個小鎮的風光非常美，有山有水，非常適合度假。,0.8,0.1
這款遊細的畫面非常精識，讓人目不俠給。,這款遊戲的畫面非常精緻，讓人目不暇給。,0.8,0.1
我喜歡這部佃潁的劇情，很吸尹人。,我喜歡這部電影的劇情，很吸引人。,0.8,0.1
這做橋的射計很獨特，吸引了許哆遊客。,這座橋的設計很獨特，吸引了許多遊客。,0.8,0.1
憶術可以豐富我們滌生活，讓我們的世界變得更佳多彩。,藝術可以豐富我們的生活，讓我們的世界變得更加多彩。,0.8,0.1
這本書的內戎非長豐付，值得一讀。,這本書的內容非常豐富，值得一讀。,0.8,0.1
你的化予總能己我帶來鼓勵和力量。,你的話語總能給我帶來鼓勵和力量。,0.8,0.1
音樂有著識癒仁心的力良。,音樂有著治癒人心的力量。,0.8,0.1
美食是人生忪的一大響售。,美食是人生中的一大享受。,0.8,0.1
扇待它人，人生會庚美好。,善待他人，人生會更美好。,0.8,0.1
大海的寬廓和深沉靈人靜畏。,大海的寬闊和深沉令人敬畏。,0.8,0.1
樹夜在風中漂揚，給人一種佞靜的感覺。,樹葉在風中飄揚，給人一種寧靜的感覺。,0.8,0.1
這個泊物館的奘品豐富，讓人大揩眼界。,這個博物館的藏品豐富，讓人大開眼界。,0.8,0.1
我們的友誼如童虹酒，越陳越相。,我們的友誼如同紅酒，越陳越香。,0.8,0.1
這個市場的熱鬧和多睬讓人演花撩亂。,這個市場的熱鬧和多彩讓人眼花撩亂。,0.8,0.1
對知識的追求是人生的一眾精神之瞠。,對知識的追求是人生的一種精神支撐。,0.8,0.1
這首割的旋律優浼，詞劇感人。,這首歌的旋律優美，詞句感人。,0.8,0.1
保持熱曖升活，妳會發現生活充滿驚喜。,保持熱愛生活，妳會發現生活充滿驚喜。,0.8,0.1
你的奇極態鐸給我留下了深刻的窨象。,你的積極態度給我留下了深刻的印象。,0.8,0.1
好的習觀會塑噪我們的幸格。,好的習慣會塑造我們的性格。,0.8,0.1
我們在功園理野餐，享受陽桄和微風。,我們在公園裡野餐，享受陽光和微風。,0.8,0.1
你的髮行很好堪，很適和你。,你的髮型很好看，很適合你。,0.8,0.1
雲埵在天箜中自由地飄福。,雲朵在天空中自由地飄浮。,0.8,0.1
這款首機的設技非常新穎，功能檣大。,這款手機的設計非常新穎，功能強大。,0.8,0.1
我的夢想是成為依硌科學加。,我的夢想是成為一個科學家。,0.8,0.1
你的畫讓我有了囟心和永氣。,你的話讓我有了信心和勇氣。,0.8,0.1
每一個喱明督是一個新的鐦始。,每一個黎明都是一個新的開始。,0.8,0.1
天空的藍塞讓我感到嚀靜和屏和。,天空的藍色讓我感到寧靜和平和。,0.8,0.1
我們應該珍惜十見，抓住每一個學習的期會。,我們應該珍惜時間，抓住每一個學習的機會。,0.8,0.1
美麗的花朵成開在花園裡，吸引了栩多蜜風。,美麗的花朵盛開在花園裡，吸引了許多蜜蜂。,0.8,0.1
我喜歡夏天的葉晚，星星凡多，空氣傾新。,我喜歡夏天的夜晚，星星繁多，空氣清新。,0.8,0.1
小裊在林間歌暢，為大自然憎添了生機。,小鳥在林間歌唱，為大自然增添了生機。,0.8,0.1
你的笑容孺揚光扳溫暖。,你的笑容如陽光般溫暖。,0.8,0.1
這佳餐汀的圜境很好，菜品也很美味。,這家餐廳的環境很好，菜品也很美味。,0.8,0.1
浼一刺的嘗世都是一種學習。,每一次的嘗試都是一種學習。,0.8,0.1
我們在公園裡丸耍，快樂地想受著暑斝。,我們在公園裡玩耍，快樂地享受著暑假。,0.8,0.1
你的健議對我很有梆助，謝卸你。,你的建議對我很有幫助，謝謝你。,0.8,0.1
我喜歡這手歌的節揍和懸律。,我喜歡這首歌的節奏和旋律。,0.8,0.1
這篇文章的語嚴流暢，內容深縟遣出。,這篇文章的語言流暢，內容深入淺出。,0.8,0.1
孕動是保持身體健康的昊芳法。,運動是保持身體健康的好方法。,0.8,0.1
我喜歡看日洛，那橙紅色的光芒象亟了希望。,我喜歡看日落，那橙紅色的光芒像極了希望。,0.8,0.1
做一個有咋任感的人，隊自己和他人都是一種遵重。,做一個有責任感的人，對自己和他人都是一種尊重。,0.8,0.1
美食可以治愈一愜的疲圈和凡惱。,美食可以治愈一切的疲倦和煩惱。,0.8,0.1
讀一本晧書，就相和治者對話。,讀一本好書，就像和智者對話。,0.8,0.1
感謝每一次的像愈，都讓我學卉了珍惜。,感謝每一次的相遇，都讓我學會了珍惜。,0.8,0.1
學習如同攀燈山風，雖蚺辛苦，但風景絕佳。,學習如同攀登山峰，雖然辛苦，但風景絕佳。,0.8,0.1
你的汩勵是我錢進的動利。,你的鼓勵是我前進的動力。,0.8,0.1
空氣中瀰漫住新先的草香，讓人感覺心礦神怡,空氣中瀰漫著新鮮的草香，讓人感覺心曠神怡。,0.8,0.1
美好的回藝如同甜蜜的糖果，讓人蛔味魔窮。,美好的回憶如同甜蜜的糖果，讓人回味無窮。,0.8,0.1
無論和時，你都不硬該望記對生活充滿熱愛。,無論何時，你都不應該忘記對生活充滿熱愛。,0.8,0.1
世界充滿了味知和奇廟，我們需要去探索和體唁。,世界充滿了未知和奇妙，我們需要去探索和體驗。,0.8,0.1
勇敢去錐求自己的夢想，不怕睏難，不怕措折。,勇敢去追求自己的夢想，不怕困難，不怕挫折。,0.8,0.1
這福話的色彩豐富，充滿活力，令人感到心情予快。,這幅畫的色彩豐富，充滿活力，令人感到心情愉快。,0.8,0.1
我們在語中跳舞，忘記了索有的煩腦。,我們在雨中跳舞，忘記了所有的煩惱。,0.8,0.1
這座成市的夜景美得令人平惜。,這座城市的夜景美得令人屏息。,0.8,0.1
你的傚容讓我餉起了蝽天的陽光。,你的笑容讓我想起了春天的陽光。,0.8,0.1
這部電影的俱情設計獨特，讓人回味摩邛。,這部電影的劇情設計獨特，讓人回味無窮。,0.8,0.1
生活就像一部悲喜交之的電影，充滿了驚奇和卞暑。,生活就像一部悲喜交織的電影，充滿了驚奇和變數。,0.8,0.1
這場音樂會的表眼精彩絕論，讓人深感震憾。,這場音樂會的表演精彩絕倫，讓人深感震撼。,0.8,0.1
這種垞的香氣濃語，味道乾甜，十分好喝。,這種茶的香氣濃郁，味道甘甜，十分好喝。,0.8,0.1
書中的智匯客以讓我們更好地裡解人生。,書中的智慧可以讓我們更好地理解人生。,0.8,0.1
這個公園的景色宿勵，讓人心情抒暢。,這個公園的景色秀麗，讓人心情舒暢。,0.8,0.1
雨候的空器清新，一切都變得量快。,雨後的空氣清新，一切都變得涼快。,0.8,0.1
我喜歡這個城市的文化氛圍和力使怡產。,我喜歡這個城市的文化氛圍和歷史遺產。,0.8,0.1
我們應該珍昔每一個語家人供度的時刻。,我們應該珍惜每一個與家人共度的時刻。,0.8,0.1
學習新的記能可乙讓我們更好地面對祧戰。,學習新的技能可以讓我們更好地面對挑戰。,0.8,0.1
我喜歡楸天的今潢，像詩一樣美麗。,我喜歡秋天的金黃，像詩一樣美麗。,0.8,0.1
川著舒適的衣富，癡著美食，這就是幸福的生活。,穿著舒適的衣服，吃著美食，這就是幸福的生活。,0.8,0.1
對支識的追仇是我們生和的動力。,對知識的追求是我們生活的動力。,0.8,0.1
這部劇的演元演技精佔，婊演生動有趣。,這部劇的演員演技精湛，表演生動有趣。,0.8,0.1
無圇合時何地，你都是我最好的澎友。,無論何時何地，你都是我最好的朋友。,0.8,0.1
這家喀非店的妝潢風格獨特，很有藝術感。,這家咖啡店的裝潢風格獨特，很有藝術感。,0.8,0.1
我喜歡這款新鏟品的愴新設計和公能。,我喜歡這款新產品的創新設計和功能。,0.8,0.1
河流的流水聲像一首優陽的樂區。,河流的流水聲像一首悠揚的樂曲。,0.8,0.1
感謝你在我困難時候幾於的幫著和支持。,感謝你在我困難時候給予的幫助和支持。,0.8,0.1
維護世界和平是我們共仝的則仁。,維護世界和平是我們共同的責任。,0.8,0.1
這個產品的品擲悠良，非常萘用。,這個產品的品質優良，非常耐用。,0.8,0.1
你的成工徠自你的努力和覺心。,你的成功來自你的努力和決心。,0.8,0.1
這首歌慈伸沉，旋律動人，領人感動。,這首歌詞深沉，旋律動人，令人感動。,0.8,0.1
我們應該學會接受失拜，並從重學習和成掌。,我們應該學會接受失敗，並從中學習和成長。,0.8,0.1
我喜歡在樂光下散步，感受他的神密和寧靜。,我喜歡在月光下散步，感受它的神秘和寧靜。,0.8,0.1
你的快耀就是我的噲月。,你的快樂就是我的快樂。,0.8,0.1
單帶動物，是對生命的尊中。,善待動物，是對生命的尊重。,0.8,0.1
你的熱情和機即感苒了我，讓我充滿動力。,你的熱情和積極感染了我，讓我充滿動力。,0.8,0.1
這座僑的夜景照亮了拯個河面，妃常美麗。,這座橋的夜景照亮了整個河面，非常美麗。,0.8,0.1
爬山濉然辛苦，但是看到山酊的風景就覺得一切都值地了。,爬山雖然辛苦，但是看到山頂的風景就覺得一切都值得了。,0.8,0.1
音鰳有助愉放鬆心情，緩界壓力。,音樂有助於放鬆心情，緩解壓力。,0.8,0.1
踅會櫝力，可以讓我們更有自信。,學會獨立，可以讓我們更有自信。,0.8,0.1
尊蟲他人，是作人的基本僳質。,尊重他人，是做人的基本素質。,0.8,0.1
這個手機APP的界面設計得非常值觀，藝予使用。,這個手機APP的界面設計得非常直觀，易於使用。,0.8,0.1
生活中的小榷幸可以代給我們無比的快勒。,生活中的小確幸可以帶給我們無比的快樂。,0.8,0.1
這幅畫的題才創新，色彩和諧，食份吸引人。,這幅畫的題材創新，色彩和諧，十分吸引人。,0.8,0.1
運動可以強身見體，滴高我們的身心見康。,運動可以強身健體，提高我們的身心健康。,0.8,0.1
這首詩的語言幽美，充滿了折俚。,這首詩的語言優美，充滿了哲理。,0.8,0.1
我喜歡待自然的寧勁河美麗。,我喜歡大自然的寧靜和美麗。,0.8,0.1
鱈花飄落在數梢，像一幅美麗的化面。,雪花飄落在樹梢，像一幅美麗的畫面。,0.8,0.1
堅持就是勝利，不要卿憶放器。,堅持就是勝利，不要輕易放棄。,0.8,0.1
櫝書可以增長我們的知識，柝寬我們的是野。,讀書可以增長我們的知識，拓寬我們的視野。,0.8,0.1
你的優沒讓每個人都笑蓼起來。,你的幽默讓每個人都笑了起來。,0.8,0.1
鎂好的生活墟耀我們去創建，去珍惜。,美好的生活需要我們去創建，去珍惜。,0.8,0.1
生活中的點低快樂是我們飽貴的材富。,生活中的點滴快樂是我們寶貴的財富。,0.8,0.1
